"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.075161520E-1,-1.441213340E-1,1.543443680E0,-2.330521345E-1,1.567578594E0
6.175149180E-1,-1.354248822E-1,1.830792904E0,-1.963737011E-1,1.846267907E0
6.275136840E-1,-1.529183090E-1,2.010097504E0,-2.276170254E-1,2.028715232E0
6.375124500E-1,-1.557425708E-1,2.124446392E0,-2.577219009E-1,2.145681430E0
6.475111500E-1,-1.077716649E-1,2.240923882E0,-3.100919724E-1,2.264842512E0
6.575099160E-1,-6.201280653E-2,2.326032639E0,-3.530591130E-1,2.353491908E0
6.675086820E-1,-4.558569193E-2,2.470823288E0,-3.928603530E-1,2.502275971E0
6.775073820E-1,1.273030229E-2,2.615473270E0,-4.503081441E-1,2.653985666E0
6.875061480E-1,4.941446334E-2,2.705000401E0,-4.886808395E-1,2.749232242E0
6.975049140E-1,9.462145716E-2,2.720243931E0,-5.243208408E-1,2.771929402E0
7.075036140E-1,1.297863722E-1,2.654084206E0,-5.615708232E-1,2.715947213E0
7.175023800E-1,1.519055665E-1,2.571239948E0,-5.521132946E-1,2.634232196E0
7.275011460E-1,1.914046109E-1,2.469331741E0,-5.508853197E-1,2.537264198E0
7.374999120E-1,2.404159755E-1,2.424979687E0,-5.749934316E-1,2.503785887E0
7.474986780E-1,2.360545695E-1,2.361606121E0,-5.763205886E-1,2.442345318E0
7.574974440E-1,2.546759248E-1,2.216982365E0,-5.908338428E-1,2.308453002E0
7.674962100E-1,2.575951517E-1,2.036683559E0,-6.107815504E-1,2.141842498E0
7.774949760E-1,2.686466277E-1,1.796834469E0,-5.971266031E-1,1.912418704E0
7.874936760E-1,2.778417468E-1,1.516715050E0,-5.780423284E-1,1.646740268E0
7.974924420E-1,2.516195178E-1,1.256382942E0,-5.420864224E-1,1.391282922E0
8.074912080E-1,2.112854570E-1,1.070679665E0,-5.245641470E-1,1.210852606E0
8.174899080E-1,1.837386191E-1,8.733549118E-1,-4.632382989E-1,1.005533890E0
8.274886740E-1,1.358791292E-1,5.638074875E-1,-3.849872947E-1,6.961014565E-1
8.374874400E-1,9.522621334E-2,2.472105026E-1,-3.096181154E-1,4.074855110E-1
8.474862060E-1,3.425298259E-2,-9.327697754E-2,-2.524517775E-1,2.713038173E-1
8.574849720E-1,-1.503850892E-2,-4.506330490E-1,-1.692276001E-1,4.815955588E-1
8.674837380E-1,-5.836685002E-2,-7.052202225E-1,-1.158090830E-1,7.170453229E-1
8.774825040E-1,-9.912271053E-2,-9.074077606E-1,-7.865166664E-2,9.161878849E-1
8.874812700E-1,-1.029305011E-1,-1.114629745E0,-5.795449018E-2,1.120871483E0
8.974799700E-1,-1.264324486E-1,-1.372389793E0,-3.250050545E-2,1.378584489E0
9.074787360E-1,-1.142890826E-1,-1.625732422E0,-8.423924446E-3,1.629766506E0
9.174774690E-1,-1.144822687E-1,-1.625498772E0,-6.073832512E-3,1.629536541E0
9.274761350E-1,-8.422076702E-2,-2.075634956E0,-1.575469971E-3,2.077343518E0
9.374748680E-1,-5.974515527E-2,-2.193201065E0,-1.138210297E-2,2.194044199E0
9.474736010E-1,-6.317878515E-2,-2.227119446E0,-3.502190113E-2,2.228290627E0
9.574722670E-1,-1.632043719E-2,-2.299553871E0,-4.358536005E-2,2.300024793E0
9.674710000E-1,1.777151227E-2,-2.412821770E0,-8.932113647E-2,2.414539912E0
9.774697330E-1,5.008147284E-2,-2.495129585E0,-1.219583750E-1,2.498610343E0
9.874684660E-1,6.998137385E-2,-2.551142693E0,-1.500158310E-1,2.556507614E0
9.974671990E-1,9.358933568E-2,-2.549658775E0,-1.774348617E-1,2.557538263E0
1.007465932E0,1.116352081E-1,-2.423391342E0,-2.163503170E-1,2.435589349E0
1.017464665E0,1.554859728E-1,-2.304003716E0,-2.214649320E-1,2.319839590E0
1.027463431E0,1.475872397E-1,-2.232220650E0,-2.167372108E-1,2.247568918E0
1.037462131E0,1.402208805E-1,-2.157732964E0,-2.092789412E-1,2.172388343E0
1.047460897E0,1.138854697E-1,-2.078166008E0,-1.970986724E-1,2.090596026E0
1.057459663E0,1.048949435E-1,-1.979240417E0,-1.830497384E-1,1.990452910E0
1.067458363E0,7.042999566E-2,-1.827474594E0,-1.411143541E-1,1.834267439E0
1.077457163E0,2.592887729E-2,-1.570313454E0,-1.392125487E-1,1.576685379E0
1.087455929E0,3.387231380E-3,-1.310802460E0,-9.908342361E-2,1.314546342E0
1.097454695E0,-2.486738749E-2,-1.118399620E0,-1.122678518E-1,1.124295409E0
1.107453461E0,-4.599120840E-2,-9.381570816E-1,-1.147095561E-1,9.462622170E-1
1.117452227E0,-7.802022994E-2,-7.006416321E-1,-1.044670939E-1,7.126704895E-1
1.127450993E0,-1.016044468E-1,-4.944124222E-1,-1.005062461E-1,5.146538762E-1
1.137449759E0,-1.208651736E-1,-2.093601227E-1,-1.341589689E-1,2.764754602E-1
1.147448459E0,-1.356536448E-1,1.425437927E-1,-1.458113790E-1,2.449114175E-1
1.157447225E0,-1.500897408E-1,4.607114792E-1,-1.621456742E-1,5.109532435E-1
1.167445991E0,-1.542824358E-1,6.613845825E-1,-1.830863953E-1,7.033869946E-1
1.177444691E0,-1.528212726E-1,8.642559052E-1,-2.301898003E-1,9.073477586E-1
1.187443457E0,-1.265114397E-1,1.098082542E0,-3.032305241E-1,1.146184612E0
1.197442223E0,-1.065860316E-1,1.334171295E0,-2.964678407E-1,1.370863526E0
1.207440923E0,-9.110525995E-2,1.615663528E0,-3.768984079E-1,1.661541819E0
1.217439689E0,-6.804514676E-2,1.937865734E0,-4.549328089E-1,1.991712230E0
1.227438489E0,-4.181245714E-2,2.128471375E0,-4.530115724E-1,2.176547302E0
1.237437289E0,-1.313198358E-3,2.235373497E0,-5.239915848E-1,2.295966806E0
1.247436122E0,-4.695318639E-3,2.342481613E0,-4.924561977E-1,2.393690720E0
1.257435022E0,1.727583632E-2,2.437798023E0,-5.354887247E-1,2.495977931E0
