"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.607348200E-2,-3.047649860E-1,-3.604822159E-1,7.969856262E-3,4.721150742E-1
4.607248200E-2,-2.972886562E-1,-3.605070114E-1,8.073329926E-3,4.673446577E-1
5.607198200E-2,-2.442089468E-1,3.672580719E-1,-1.378083229E-2,4.412554956E-1
6.607131500E-2,-2.329937518E-1,4.988145828E-1,1.155143976E-2,5.506682415E-1
7.607106500E-2,-2.435853630E-1,6.595144272E-1,4.450857639E-3,7.030739071E-1
8.607086500E-2,-2.171081305E-1,7.936782837E-1,-5.119323730E-3,8.228531860E-1
9.607053100E-2,-2.017491907E-1,9.228572845E-1,-2.774715424E-3,9.446565527E-1
1.060702450E-1,-1.884976625E-1,1.051883698E0,-5.282998085E-2,1.069944713E0
1.160699950E-1,-1.752355695E-1,1.164083481E0,-4.151606560E-2,1.177930999E0
1.260698830E-1,-1.311981827E-1,1.254614830E0,-7.448750734E-2,1.263653324E0
1.360697830E-1,-1.313864291E-1,1.328356743E0,-6.262183189E-2,1.336306673E0
1.460696010E-1,-1.347783804E-1,1.416419029E0,-7.297790051E-2,1.424687282E0
1.560694340E-1,-1.173710972E-1,1.434998512E0,-1.103199124E-1,1.444010799E0
1.660692800E-1,-1.079486012E-1,1.494268417E0,-8.302813768E-2,1.500461487E0
1.760691370E-1,-9.688363969E-2,1.524792671E0,-1.233810186E-1,1.532841155E0
1.860690700E-1,-9.854167700E-2,1.533769608E0,-1.300364137E-1,1.542423139E0
1.960690070E-1,-1.285776049E-1,1.518907547E0,-1.505061388E-1,1.531752080E0
2.060688890E-1,-1.249310523E-1,1.475282669E0,-1.758135557E-1,1.490965167E0
2.160687770E-1,-1.329852790E-1,1.472390175E0,-1.697585583E-1,1.488098075E0
2.260686710E-1,-1.359674782E-1,1.409641266E0,-2.228661180E-1,1.433612556E0
2.360686210E-1,-1.459763795E-1,1.344609261E0,-2.028396130E-1,1.367635578E0
2.460685730E-1,-1.558179557E-1,1.272502899E0,-1.931834817E-1,1.296480899E0
2.560684820E-1,-1.702083200E-1,1.145462990E0,-2.321107984E-1,1.181072291E0
2.660683950E-1,-1.866063476E-1,1.078395844E0,-1.710877419E-1,1.107714106E0
2.760683110E-1,-2.027581334E-1,9.516353607E-1,-1.535685062E-1,9.850401040E-1
2.860682710E-1,-2.208779752E-1,8.249874115E-1,-1.680979133E-1,8.704299038E-1
2.960681940E-1,-2.169556469E-1,6.960334778E-1,-1.310452223E-1,7.407463839E-1
3.060681190E-1,-2.287110835E-1,5.384378433E-1,-1.453437805E-1,6.027842777E-1
3.160680470E-1,-2.611836791E-1,4.119777679E-1,-9.489518404E-2,4.969383176E-1
3.260679780E-1,-2.760821581E-1,2.447690964E-1,-7.561141253E-2,3.766302620E-1
3.360679110E-1,-2.637583613E-1,8.712100983E-2,-1.094125509E-1,2.985458923E-1
3.460679110E-1,-2.506088018E-1,-2.269268036E-2,-3.116619587E-2,2.535568202E-1
3.560679110E-1,-2.752142549E-1,-1.876220703E-1,-6.612175703E-2,3.395835893E-1
3.660679110E-1,-2.707028389E-1,-3.119077682E-1,-5.858182907E-2,4.171310508E-1
3.760678770E-1,-2.731893659E-1,-4.362640381E-1,-5.423587561E-2,5.175908333E-1
3.860678430E-1,-2.612352967E-1,-6.013813019E-1,-5.296802521E-2,6.578061737E-1
3.960678760E-1,-2.853308022E-1,-7.162570953E-1,-1.414936781E-2,7.711278091E-1
4.060678760E-1,-2.904521227E-1,-8.312320709E-1,-1.719361544E-2,8.806842861E-1
4.160678760E-1,-3.147369921E-1,-9.773902893E-1,-3.541427851E-2,1.027426554E0
4.260678420E-1,-3.031529784E-1,-1.051796913E0,1.007115841E-2,1.094659720E0
4.360678420E-1,-2.986671925E-1,-1.150212288E0,-3.157484531E-2,1.188775576E0
4.460678750E-1,-3.202660978E-1,-1.243908882E0,-4.497647285E-3,1.284484297E0
4.560678750E-1,-3.153185546E-1,-1.287360191E0,-2.595949173E-2,1.325668114E0
4.660678750E-1,-3.147853911E-1,-1.338048935E0,-5.739063025E-2,1.375775592E0
4.760678750E-1,-3.163368106E-1,-1.355224609E0,-3.858989477E-2,1.392189606E0
4.860678410E-1,-3.223316669E-1,-1.369974136E0,-6.237643957E-2,1.408764586E0
4.960678070E-1,-3.136905432E-1,-1.399004936E0,-6.836670637E-2,1.435371232E0
5.060678400E-1,-3.163746595E-1,-1.377693176E0,-4.230844975E-2,1.414185779E0
5.160678400E-1,-3.108572364E-1,-1.334678650E0,-7.430434227E-2,1.372414098E0
5.260678400E-1,-3.163890243E-1,-1.282029152E0,-3.578025103E-2,1.320977285E0
5.360678060E-1,-2.922932804E-1,-1.246079445E0,-3.478014469E-2,1.280374556E0
5.460678060E-1,-2.840732038E-1,-1.183752060E0,-4.970055819E-2,1.218374602E0
5.560678390E-1,-2.796723247E-1,-1.078276634E0,-2.582156658E-2,1.114254846E0
5.660678390E-1,-2.599915862E-1,-9.919700623E-1,-7.598280907E-2,1.028286739E0
5.760678390E-1,-2.301028669E-1,-8.482351303E-1,-3.530591726E-2,8.796002919E-1
5.860678050E-1,-2.236557603E-1,-7.116994858E-1,-2.590250969E-2,7.464643308E-1
5.960678380E-1,-2.193918973E-1,-6.087169647E-1,-4.783391953E-2,6.488121697E-1
6.060678710E-1,-1.886973977E-1,-4.674386978E-1,-6.027120352E-2,5.076792906E-1
6.160678710E-1,-1.845493317E-1,-3.190069199E-1,-6.582027674E-2,3.743743842E-1
6.260678710E-1,-1.712081432E-1,-1.706008911E-1,-6.688827276E-2,2.507806480E-1
6.360678710E-1,-1.581204385E-1,-4.376029968E-2,-7.524961233E-2,1.804980361E-1
6.460678370E-1,-1.524544656E-1,1.166000366E-1,-7.899183035E-2,2.075515403E-1
6.560678370E-1,-1.253286004E-1,2.410030365E-1,-7.810688019E-2,2.826489102E-1
6.660678700E-1,-1.103886068E-1,3.989381790E-1,-9.404319525E-2,4.244778413E-1
6.760678700E-1,-9.778340161E-2,5.329036713E-1,-8.382666111E-2,5.482470480E-1
