"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.432791000E-1,-1.556278616E-1,-1.131294823E1,4.142095447E-1,1.132159826E1
1.452788330E-1,-1.029538140E-1,-1.155955887E1,7.948992252E-1,1.158731485E1
1.472785660E-1,-1.675992459E-2,-1.162659836E1,1.187560320E0,1.168710271E1
1.492782990E-1,-1.197137404E-2,-1.172715759E1,1.194743156E0,1.178786578E1
1.512780990E-1,2.873129770E-2,-1.189236259E1,1.084606528E0,1.194175384E1
1.532778990E-1,2.346389294E-1,-1.212700176E1,1.003201127E0,1.217068772E1
1.552776650E-1,2.825244367E-1,-1.217488766E1,1.003201127E0,1.221941578E1
1.572774310E-1,3.184385598E-1,-1.222277260E1,9.624984860E-1,1.226474527E1
1.592771970E-1,3.088614643E-1,-1.221319580E1,9.217957854E-1,1.225182658E1
1.612769630E-1,3.040728867E-1,-1.219883060E1,9.289786220E-1,1.223792996E1
1.632766960E-1,3.280156553E-1,-1.217009926E1,9.217957854E-1,1.220936598E1
1.652764620E-1,3.375927508E-1,-1.215812778E1,8.834874034E-1,1.219485917E1
1.672762950E-1,3.280156553E-1,-1.213897324E1,8.954587579E-1,1.217637515E1
1.692761280E-1,3.256213665E-1,-1.211981869E1,9.098244309E-1,1.215828174E1
1.712759610E-1,3.495641351E-1,-1.210066509E1,8.595446348E-1,1.213619000E1
1.732757940E-1,3.471698463E-1,-1.207432747E1,8.619389534E-1,1.211003094E1
1.752756270E-1,3.447755575E-1,-1.203841400E1,9.050358534E-1,1.207730813E1
1.772754600E-1,3.471698463E-1,-1.203601933E1,8.475732803E-1,1.207081889E1
1.792752930E-1,3.567469418E-1,-1.202165413E1,8.332076073E-1,1.205577336E1
1.812751260E-1,3.328042030E-1,-1.198573971E1,8.739103079E-1,1.202216429E1
1.832750260E-1,3.351984620E-1,-1.198334503E1,8.332076073E-1,1.201695265E1
1.852748920E-1,3.304099143E-1,-1.196658516E1,8.164477348E-1,1.199895487E1
1.872747580E-1,3.232271075E-1,-1.194024849E1,8.475732803E-1,1.197465616E1
1.892746240E-1,3.280156553E-1,-1.193306541E1,8.212362528E-1,1.196578762E1
1.912744900E-1,3.280156553E-1,-1.190194035E1,8.020820618E-1,1.193344518E1
1.932743560E-1,3.256213665E-1,-1.187560272E1,8.284190893E-1,1.190891462E1
1.952742220E-1,3.256213665E-1,-1.184926605E1,8.188419938E-1,1.188198794E1
1.972740880E-1,3.280156553E-1,-1.182292938E1,7.733507752E-1,1.185273491E1
1.992740210E-1,3.328042030E-1,-1.179898643E1,7.972934842E-1,1.183057549E1
2.012739540E-1,3.351984620E-1,-1.176546669E1,7.996878028E-1,1.179737534E1
2.032738870E-1,3.232271075E-1,-1.174631214E1,7.470137477E-1,1.177447894E1
2.052738200E-1,3.184385598E-1,-1.172476387E1,7.637736797E-1,1.175392875E1
2.072737530E-1,3.304099143E-1,-1.169124413E1,7.948992252E-1,1.172289319E1
2.092736860E-1,3.399870098E-1,-1.167208958E1,7.470137477E-1,1.170091004E1
2.112736190E-1,3.351984620E-1,-1.164335823E1,7.565908432E-1,1.167272798E1
2.132735520E-1,3.232271075E-1,-1.157153034E1,7.853221297E-1,1.160265147E1
2.152735180E-1,3.304099143E-1,-1.153082752E1,7.494080067E-1,1.155987744E1
2.172734180E-1,3.280156553E-1,-1.150927925E1,7.470137477E-1,1.153815985E1
2.192733180E-1,3.280156553E-1,-1.143745041E1,7.948992252E-1,1.146973107E1
2.212732180E-1,3.399870098E-1,-1.139435387E1,7.446194887E-1,1.142371872E1
2.232731180E-1,3.328042030E-1,-1.137998772E1,7.278595567E-1,1.140809619E1
2.252730180E-1,3.304099143E-1,-1.131055450E1,7.613793612E-1,1.134096612E1
2.272729180E-1,3.256213665E-1,-1.126027489E1,7.134938836E-1,1.128755480E1
2.292728180E-1,3.184385598E-1,-1.123633194E1,7.039167881E-1,1.126286187E1
2.312727180E-1,3.136500120E-1,-1.116689777E1,7.278595567E-1,1.119498824E1
2.332725510E-1,3.136500120E-1,-1.112858963E1,7.230709791E-1,1.115646517E1
2.352723840E-1,3.184385598E-1,-1.106633854E1,7.182824612E-1,1.109419585E1
2.372722170E-1,3.136500120E-1,-1.103521252E1,7.398309112E-1,1.106443136E1
2.392720500E-1,3.112557232E-1,-1.098732662E1,7.374366522E-1,1.101644404E1
2.412718830E-1,3.016786277E-1,-1.092268181E1,7.039167881E-1,1.094949710E1
2.432717160E-1,2.921015322E-1,-1.088916206E1,7.206767201E-1,1.091689281E1
2.452715820E-1,2.992843390E-1,-1.082691097E1,7.565908432E-1,1.085743994E1
2.472714480E-1,2.992843390E-1,-1.079339123E1,6.919454336E-1,1.081968825E1
2.492712480E-1,2.968900800E-1,-1.076465988E1,7.039167881E-1,1.079173503E1
2.512710480E-1,2.921015322E-1,-1.071677399E1,7.446194887E-1,1.074658207E1
2.532708480E-1,2.992843390E-1,-1.066888809E1,6.632141471E-1,1.069367090E1
2.552706480E-1,2.921015322E-1,-1.063776302E1,6.727912426E-1,1.066301897E1
2.572704480E-1,2.729473412E-1,-1.058508873E1,6.967339516E-1,1.061150517E1
2.592702480E-1,2.801301479E-1,-1.053959751E1,6.608198285E-1,1.056400830E1
2.612700480E-1,2.681587934E-1,-1.048213482E1,6.847625971E-1,1.050789985E1
2.632697810E-1,2.657645047E-1,-1.045819283E1,7.158881426E-1,1.048603470E1
2.652695140E-1,2.729473412E-1,-1.042706680E1,6.823683381E-1,1.045293494E1
2.672692470E-1,2.609759569E-1,-1.040312386E1,6.775797606E-1,1.042843271E1
2.692689800E-1,2.657645047E-1,-1.034326744E1,7.063110471E-1,1.037076118E1
2.712687130E-1,2.609759569E-1,-1.030735302E1,6.943396926E-1,1.033400902E1
2.732684460E-1,2.442160249E-1,-1.024749660E1,6.656084061E-1,1.027199409E1
2.752681790E-1,2.370332032E-1,-1.021397591E1,6.847625971E-1,1.023964786E1
2.772679790E-1,2.370332032E-1,-1.016369629E1,6.727912426E-1,1.018869742E1
2.792677120E-1,2.370332032E-1,-1.010862827E1,6.488484740E-1,1.013220384E1
2.812674450E-1,2.226675600E-1,-1.006313705E1,6.727912426E-1,1.008806008E1
2.832671780E-1,2.106961906E-1,-9.988914490E0,6.847625971E-1,1.001457465E1
2.852669110E-1,2.083019018E-1,-9.931451797E0,6.512427330E-1,9.954960652E0
2.872666440E-1,1.987248063E-1,-9.895537376E0,6.727912426E-1,9.920372955E0
2.892663770E-1,2.154847383E-1,-9.818921089E0,7.039167881E-1,9.846478755E0
2.912661100E-1,1.987248063E-1,-9.775823593E0,6.440598965E-1,9.799032178E0
2.932659100E-1,1.891477108E-1,-9.735121727E0,6.512427330E-1,9.758713491E0
2.952656430E-1,1.843591630E-1,-9.653716087E0,7.039167881E-1,9.681101251E0
2.972653760E-1,1.939362586E-1,-9.586676598E0,6.464542150E-1,9.610404909E0
2.992651090E-1,1.843591630E-1,-9.555550575E0,6.368771195E-1,9.578525333E0
3.012648420E-1,1.867534369E-1,-9.486116409E0,6.943396926E-1,9.513326915E0
3.032645750E-1,1.819648892E-1,-9.438231468E0,6.680026650E-1,9.463590863E0
3.052643080E-1,1.819648892E-1,-9.402317047E0,6.536370516E-1,9.426766066E0
3.072640410E-1,1.795706153E-1,-9.330489159E0,6.991282701E-1,9.358368121E0
3.092638410E-1,1.699935049E-1,-9.270631790E0,6.751855016E-1,9.296740668E0
3.112635740E-1,1.604164094E-1,-9.213169098E0,6.751855016E-1,9.239269111E0
3.132633070E-1,1.652049571E-1,-9.191620827E0,7.087053657E-1,9.220382280E0
3.152630400E-1,1.652049571E-1,-9.136552811E0,7.015225291E-1,9.164934468E0
3.172627730E-1,1.652049571E-1,-9.076695442E0,6.703969240E-1,9.102918481E0
3.192625060E-1,1.604164094E-1,-9.033598900E0,7.063110471E-1,9.062588913E0
3.212622390E-1,1.604164094E-1,-8.988107681E0,7.278595567E-1,9.018957404E0
3.232620390E-1,1.652049571E-1,-8.942616463E0,6.943396926E-1,8.971052864E0
3.252618390E-1,1.580221355E-1,-8.894730568E0,7.110996246E-1,8.924509261E0
3.272615720E-1,1.723877788E-1,-8.832479477E0,7.278595567E-1,8.864095599E0
3.292613050E-1,1.628106833E-1,-8.798959732E0,6.823683381E-1,8.826880889E0
3.312610380E-1,1.532335877E-1,-8.767834663E0,6.991282701E-1,8.796998667E0
3.332607710E-1,1.652049571E-1,-8.705583572E0,7.470137477E-1,8.739136545E0
3.352605040E-1,1.747820675E-1,-8.652909279E0,6.943396926E-1,8.682482097E0
3.372602370E-1,1.771763414E-1,-8.616994858E0,6.991282701E-1,8.647125081E0
3.392600370E-1,1.652049571E-1,-8.561926842E0,7.565908432E-1,8.596878133E0
3.412597700E-1,1.915419847E-1,-8.511647224E0,7.134938836E-1,8.543646781E0
3.432595030E-1,1.963305324E-1,-8.480521202E0,6.943396926E-1,8.511162855E0
3.452592360E-1,1.939362586E-1,-8.396721840E0,7.422251701E-1,8.431693017E0
3.472589690E-1,2.035133541E-1,-8.346442223E0,7.182824612E-1,8.379764027E0
3.492587020E-1,2.154847383E-1,-8.274613380E0,7.015225291E-1,8.307093001E0
3.512584350E-1,2.106961906E-1,-8.250671387E0,7.398309112E-1,8.286454066E0
3.532581680E-1,1.963305324E-1,-8.195602417E0,7.039167881E-1,8.228119074E0
3.552579680E-1,2.083019018E-1,-8.121379852E0,6.703969240E-1,8.151664396E0
3.572577010E-1,2.035133541E-1,-8.075888634E0,6.991282701E-1,8.108648176E0
3.592574340E-1,2.202732861E-1,-8.023215294E0,7.015225291E-1,8.056837955E0
3.612571670E-1,2.226675600E-1,-7.960963726E0,6.560313106E-1,7.991051331E0
3.632569000E-1,2.298503816E-1,-7.920260906E0,6.823683381E-1,7.952923398E0
3.652566330E-1,2.298503816E-1,-7.869981289E0,7.063110471E-1,7.904954901E0
3.672563660E-1,2.370332032E-1,-7.831672668E0,6.464542150E-1,7.861881745E0
3.692560990E-1,2.322446555E-1,-7.798152924E0,6.560313106E-1,7.829144505E0
3.712558990E-1,2.130904645E-1,-7.745479107E0,6.871568561E-1,7.778819877E0
3.732556320E-1,2.274561077E-1,-7.728719234E0,6.416656375E-1,7.758644990E0
3.752553650E-1,2.322446555E-1,-7.702382088E0,6.416656375E-1,7.732552114E0
3.772550980E-1,2.322446555E-1,-7.654496670E0,6.847625971E-1,7.688573123E0
3.792548310E-1,2.418217510E-1,-7.611399651E0,6.392713785E-1,7.642025274E0
3.812545640E-1,2.490045726E-1,-7.592245579E0,6.225114465E-1,7.621792224E0
3.832542970E-1,2.178790122E-1,-7.551542759E0,6.775797606E-1,7.585010457E0
3.852540300E-1,2.202732861E-1,-7.522811413E0,6.296942830E-1,7.552332538E0
3.872538300E-1,2.083019018E-1,-7.520417213E0,6.201171875E-1,7.548815144E0
3.892535630E-1,2.035133541E-1,-7.482108593E0,6.584255695E-1,7.513780068E0
3.912532960E-1,2.202732861E-1,-7.467742920E0,6.344828010E-1,7.497884573E0
3.932530290E-1,2.154847383E-1,-7.431828976E0,6.249057055E-1,7.461167652E0
3.952527620E-1,2.130904645E-1,-7.417463303E0,6.416656375E-1,7.448214832E0
3.972524950E-1,2.035133541E-1,-7.403097630E0,6.392713785E-1,7.433433937E0
3.992522280E-1,2.226675600E-1,-7.374366283E0,5.842030644E-1,7.400821045E0
4.012520280E-1,2.226675600E-1,-7.357606411E0,6.081457734E-1,7.386054036E0
4.032518280E-1,1.987248063E-1,-7.340846539E0,6.344828010E-1,7.370894646E0
4.052515610E-1,1.987248063E-1,-7.312115192E0,5.770202279E-1,7.337538585E0
4.072512940E-1,1.915419847E-1,-7.297749519E0,5.889915824E-1,7.323984398E0
4.092510270E-1,2.035133541E-1,-7.276201248E0,6.320885420E-1,7.306439503E0
4.112507600E-1,2.083019018E-1,-7.266623974E0,5.842030644E-1,7.293045103E0
4.132504930E-1,2.059076279E-1,-7.252258301E0,5.865973234E-1,7.278856011E0
4.152502260E-1,2.106961906E-1,-7.223526955E0,6.105400920E-1,7.252344018E0
4.172500260E-1,2.083019018E-1,-7.230710030E0,5.554717779E-1,7.255005590E0
4.192498260E-1,2.011190802E-1,-7.223526955E0,5.506832004E-1,7.247278285E0
4.212495590E-1,2.059076279E-1,-7.173247337E0,5.985686779E-1,7.201122119E0
4.232492920E-1,2.130904645E-1,-7.158881664E0,5.554717779E-1,7.183560616E0
4.252490250E-1,2.083019018E-1,-7.149304390E0,5.411061049E-1,7.172777618E0
4.272487580E-1,2.011190802E-1,-7.118178844E0,5.889915824E-1,7.145336243E0
4.292484910E-1,2.130904645E-1,-7.115784645E0,5.578660369E-1,7.140799197E0
4.312482240E-1,2.083019018E-1,-7.091842175E0,5.243461728E-1,7.114250067E0
4.332480240E-1,1.963305324E-1,-7.075081825E0,5.482889414E-1,7.099010443E0
4.352477570E-1,2.035133541E-1,-7.079870701E0,5.578660369E-1,7.104730913E0
4.372474900E-1,2.106961906E-1,-7.101418972E0,5.243461728E-1,7.123867153E0
4.392472230E-1,2.035133541E-1,-7.087053299E0,5.458946824E-1,7.110959369E0
4.412469560E-1,2.035133541E-1,-7.091842175E0,5.602602959E-1,7.116848650E0
4.432466890E-1,2.083019018E-1,-7.091842175E0,5.291347504E-1,7.114604606E0
4.452464220E-1,1.963305324E-1,-7.079870701E0,5.435003638E-1,7.103415197E0
4.472461550E-1,1.987248063E-1,-7.087053299E0,5.674431324E-1,7.112510648E0
4.492459550E-1,2.130904645E-1,-7.094236374E0,5.219519138E-1,7.116602495E0
4.512456880E-1,2.154847383E-1,-7.087053299E0,5.363175869E-1,7.110583288E0
4.532454210E-1,2.035133541E-1,-7.094236374E0,5.842030644E-1,7.121158658E0
4.552451540E-1,2.370332032E-1,-7.132544518E0,5.267404318E-1,7.155894879E0
4.572448870E-1,2.370332032E-1,-7.134938717E0,5.147690773E-1,7.157410316E0
4.592445870E-1,2.298503816E-1,-7.132544518E0,5.650488734E-1,7.158582452E0
4.612443200E-1,2.298503816E-1,-7.144515991E0,5.219519138E-1,7.167243106E0
4.632440530E-1,2.322446555E-1,-7.146910191E0,4.980091453E-1,7.168003625E0
4.652438530E-1,2.394274771E-1,-7.154093266E0,5.482889414E-1,7.179066564E0
4.672435860E-1,2.537931204E-1,-7.173247337E0,5.243461728E-1,7.196862318E0
4.692433190E-1,2.537931204E-1,-7.182824612E0,5.027977228E-1,7.204872372E0
4.712430520E-1,2.537931204E-1,-7.190007210E0,5.339232683E-1,7.214269795E0
4.732427850E-1,2.729473412E-1,-7.206767082E0,5.219519138E-1,7.230797040E0
4.752425180E-1,2.705530524E-1,-7.230710030E0,4.812492430E-1,7.251756154E0
4.772422510E-1,2.657645047E-1,-7.235498428E0,5.004034638E-1,7.257649200E0
4.792419840E-1,2.585816681E-1,-7.261835575E0,5.147690773E-1,7.284648763E0
4.812417840E-1,2.681587934E-1,-7.288172722E0,4.549122155E-1,7.307278282E0
4.832415170E-1,2.705530524E-1,-7.295355320E0,4.788549542E-1,7.316058383E0
4.852412500E-1,2.801301479E-1,-7.319298267E0,5.219519138E-1,7.343230476E0
4.872409830E-1,2.777358890E-1,-7.336058140E0,4.549122155E-1,7.355394713E0
4.892407160E-1,2.681587934E-1,-7.348029613E0,4.668835998E-1,7.367728865E0
4.912404490E-1,2.585816681E-1,-7.391126156E0,4.956148863E-1,7.412236130E0
4.932401820E-1,2.633702159E-1,-7.417463303E0,4.477293789E-1,7.435629584E0
4.952399820E-1,2.609759569E-1,-7.434223175E0,4.549122155E-1,7.452699363E0
4.972397820E-1,2.490045726E-1,-7.458166122E0,5.219519138E-1,7.480553388E0
4.992395150E-1,2.466102988E-1,-7.515628815E0,4.716721475E-1,7.534452053E0
5.012392480E-1,2.418217510E-1,-7.532388687E0,4.477293789E-1,7.549557516E0
5.032389810E-1,2.226675600E-1,-7.563514233E0,4.932205975E-1,7.582848736E0
5.052387140E-1,2.274561077E-1,-7.606611252E0,4.884320498E-1,7.625669602E0
5.072384470E-1,2.202732861E-1,-7.640130997E0,4.764606953E-1,7.658141861E0
5.092381800E-1,2.130904645E-1,-7.668862343E0,5.171633363E-1,7.689233713E0
5.112379800E-1,2.106961906E-1,-7.721536160E0,4.812492430E-1,7.739387210E0
5.132377130E-1,2.035133541E-1,-7.795758724E0,4.788549542E-1,7.813102702E0
5.152374460E-1,2.035133541E-1,-7.817307472E0,5.147690773E-1,7.836880821E0
5.172371790E-1,2.106961906E-1,-7.874769688E0,5.219519138E-1,7.894860627E0
5.192369450E-1,2.202732861E-1,-7.932232380E0,4.932205975E-1,7.950603588E0
5.212366780E-1,2.059076279E-1,-7.937020779E0,5.267404318E-1,7.957144731E0
5.232364110E-1,1.939362586E-1,-7.992089272E0,5.626545548E-1,8.014217513E0
5.252361440E-1,1.987248063E-1,-8.068706512E0,5.123748183E-1,8.087400342E0
5.272359440E-1,1.963305324E-1,-8.085466385E0,5.291347504E-1,8.105140093E0
5.292356770E-1,1.843591630E-1,-8.130957603E0,5.698373914E-1,8.152985619E0
5.312354100E-1,1.795706153E-1,-8.202785492E0,5.339232683E-1,8.222104931E0
5.332351430E-1,1.771763414E-1,-8.229122162E0,5.411061049E-1,8.248796205E0
5.352348760E-1,1.891477108E-1,-8.279402733E0,5.913859010E-1,8.302651610E0
5.372346090E-1,1.963305324E-1,-8.348835945E0,5.506832004E-1,8.369280692E0
5.392343420E-1,1.891477108E-1,-8.372778893E0,5.554717779E-1,8.393315920E0
5.412340750E-1,1.819648892E-1,-8.413481712E0,6.249057055E-1,8.438619134E0
5.432338750E-1,1.819648892E-1,-8.490098000E0,5.961744189E-1,8.512948913E0
5.452336410E-1,1.843591630E-1,-8.526012421E0,5.770202279E-1,8.547504223E0
5.472334070E-1,1.771763414E-1,-8.573898315E0,6.249057055E-1,8.598466777E0
5.492331730E-1,1.963305324E-1,-8.652909279E0,6.081457734E-1,8.676475433E0
5.512329390E-1,2.083019018E-1,-8.717555046E0,5.937801600E-1,8.740236298E0
5.532327050E-1,1.915419847E-1,-8.722343445E0,6.296942830E-1,8.747141155E0
5.552324710E-1,2.106961906E-1,-8.765439987E0,6.560313106E-1,8.792480204E0
5.572322370E-1,2.011190802E-1,-8.839662552E0,6.201171875E-1,8.863669006E0
5.592320700E-1,1.987248063E-1,-8.854028702E0,6.464542150E-1,8.879820880E0
5.612318360E-1,2.059076279E-1,-8.894730568E0,6.727912426E-1,8.922515222E0
5.632316020E-1,2.202732861E-1,-8.964164734E0,6.177229285E-1,8.988122791E0
5.652313680E-1,2.178790122E-1,-8.978530884E0,6.488484740E-1,9.004581747E0
5.672311340E-1,2.035133541E-1,-9.045570374E0,7.134938836E-1,9.075948137E0
5.692309000E-1,2.083019018E-1,-9.131764412E0,6.584255695E-1,9.157840094E0
5.712306660E-1,2.083019018E-1,-9.146129608E0,6.703969240E-1,9.173031589E0
5.732304660E-1,2.130904645E-1,-9.198803902E0,7.422251701E-1,9.231159135E0
5.752302990E-1,2.083019018E-1,-9.282603264E0,7.039167881E-1,9.311584821E0
5.772300650E-1,2.154847383E-1,-9.311334610E0,7.015225291E-1,9.340209834E0
5.792298310E-1,2.035133541E-1,-9.366402626E0,7.733507752E-1,9.400478034E0
5.812295970E-1,2.059076279E-1,-9.447808266E0,7.398309112E-1,9.478967705E0
5.832293630E-1,2.106961906E-1,-9.476539612E0,7.302538157E-1,9.506969366E0
5.852291290E-1,2.059076279E-1,-9.529213905E0,7.877163887E-1,9.563932910E0
5.872288950E-1,2.059076279E-1,-9.608224869E0,7.829278708E-1,9.642269397E0
5.892287280E-1,2.130904645E-1,-9.641744614E0,7.757450342E-1,9.675248167E0
5.912284940E-1,2.130904645E-1,-9.708784103E0,8.236305118E-1,9.745987048E0
5.932282600E-1,2.298503816E-1,-9.790189743E0,8.379961848E-1,9.828676615E0
5.952280260E-1,2.226675600E-1,-9.866806030E0,7.972934842E-1,9.901470546E0
5.972277920E-1,2.202732861E-1,-9.885960579E0,8.212362528E-1,9.922457653E0
5.992275580E-1,2.059076279E-1,-9.957788467E0,8.356019258E-1,9.994907688E0
6.012273240E-1,2.226675600E-1,-1.005356026E1,8.523618579E-1,1.009208479E1
6.032270900E-1,2.226675600E-1,-1.008468533E1,8.643332124E-1,1.012410642E1
6.052268900E-1,2.035133541E-1,-1.013735962E1,8.571503758E-1,1.017556802E1
