"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.223398680E-1,-2.691273093E-1,-3.265314102E-1,1.143980026E-2,4.233002947E-1
6.323386340E-1,-2.750863731E-1,-5.266923904E-1,4.871225357E-2,5.961965032E-1
6.423373340E-1,-2.523809671E-1,-6.600294113E-1,7.225376368E-2,7.103207605E-1
6.523361000E-1,-2.705579400E-1,-8.822393417E-1,6.721490622E-2,9.252381848E-1
6.623348660E-1,-2.433347851E-1,-1.102335930E0,6.221306324E-2,1.130586921E0
6.723335660E-1,-2.619844675E-1,-1.358573914E0,7.443606853E-2,1.385604441E0
6.823323320E-1,-2.797624767E-1,-1.576804161E0,8.968371153E-2,1.603939392E0
6.923310980E-1,-2.996807098E-1,-1.792763710E0,9.018051624E-2,1.819874384E0
7.023298640E-1,-3.332800865E-1,-1.862719536E0,7.427859306E-2,1.893757375E0
7.123286300E-1,-3.462947905E-1,-1.942257881E0,8.786582947E-2,1.974843326E0
7.223273960E-1,-3.667238355E-1,-2.031314850E0,8.807814121E-2,2.066031014E0
7.323261620E-1,-3.917000294E-1,-2.172991753E0,1.085235476E-1,2.210678500E0
7.423249280E-1,-4.039917290E-1,-2.245112419E0,1.351073980E-1,2.285168068E0
7.523236280E-1,-4.101954699E-1,-2.319496155E0,1.626631021E-1,2.361097630E0
7.623223940E-1,-4.125869274E-1,-2.331538200E0,1.621345282E-1,2.373306967E0
7.723211600E-1,-4.157385826E-1,-2.223777771E0,1.594202518E-1,2.267915554E0
7.823198600E-1,-4.215034842E-1,-2.108707428E0,1.661373377E-1,2.156829576E0
7.923186260E-1,-4.234479070E-1,-2.051071167E0,1.655323505E-1,2.100857449E0
8.023173920E-1,-4.123553634E-1,-2.007744789E0,1.862210035E-1,2.058094834E0
8.123161580E-1,-4.361183643E-1,-1.928514481E0,1.728026271E-1,1.984748870E0
8.223149240E-1,-4.276221395E-1,-1.796577454E0,1.826425791E-1,1.855777345E0
8.323136900E-1,-4.202014804E-1,-1.628746033E0,1.722555757E-1,1.690874007E0
8.423124560E-1,-4.040174484E-1,-1.345977783E0,1.582276225E-1,1.414186081E0
